epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2709.19,0.32467,0.5947,0.95868,0.80961,0.7772,0.86961,0.72515,1.00332,inf,1.21189,0.000141791,0.000141791,0.000141791
60,2755.97,0.31977,0.59124,0.95739,0.82915,0.79447,0.8817,0.74313,0.97023,inf,1.20055,0.000138495,0.000138495,0.000138495
61,2802.75,0.31461,0.58535,0.95712,0.80452,0.7985,0.86934,0.71825,0.99926,inf,1.20532,0.000135198,0.000135198,0.000135198
62,2849.34,0.31625,0.58084,0.95644,0.82945,0.81392,0.8913,0.73242,0.9943,inf,1.20367,0.000131901,0.000131901,0.000131901
63,2895.98,0.31377,0.58003,0.95542,0.78475,0.76725,0.85913,0.69578,1.03148,inf,1.20459,0.000128605,0.000128605,0.000128605
64,2942.85,0.31313,0.57555,0.95499,0.81584,0.78073,0.86959,0.70127,1.02896,inf,1.20716,0.000125308,0.000125308,0.000125308
65,2990.03,0.31025,0.56778,0.95413,0.80095,0.75939,0.86397,0.72232,1.01198,inf,1.21228,0.000122011,0.000122011,0.000122011
66,3036.99,0.3105,0.57296,0.95382,0.78564,0.73219,0.83722,0.69927,0.99549,inf,1.20452,0.000118714,0.000118714,0.000118714
67,3084.01,0.30548,0.56825,0.95383,0.79191,0.77553,0.86599,0.714,1.01851,inf,1.20656,0.000115418,0.000115418,0.000115418
68,3130.8,0.3071,0.56757,0.95357,0.80117,0.78501,0.85707,0.73469,0.91943,inf,1.18903,0.000112121,0.000112121,0.000112121
69,3177.62,0.30284,0.56116,0.95295,0.82219,0.81023,0.86876,0.75397,0.93676,inf,1.19322,0.000108824,0.000108824,0.000108824
70,3224.31,0.30661,0.56415,0.95201,0.79989,0.76462,0.85359,0.73873,0.95858,inf,1.195,0.000105528,0.000105528,0.000105528
71,3271.07,0.29776,0.55423,0.95161,0.77219,0.74179,0.84544,0.72637,0.95669,inf,1.19913,0.000102231,0.000102231,0.000102231
72,3317.89,0.2998,0.55691,0.9514,0.81083,0.78634,0.86315,0.72805,0.96467,inf,1.19644,9.89343e-05,9.89343e-05,9.89343e-05
73,3364.67,0.29528,0.54962,0.95019,0.77373,0.78196,0.81832,0.70066,0.94206,inf,1.19344,9.56376e-05,9.56376e-05,9.56376e-05
74,3411.2,0.29448,0.54916,0.95004,0.76153,0.76241,0.81354,0.68041,0.9798,inf,1.19852,9.23409e-05,9.23409e-05,9.23409e-05
75,3458.15,0.29246,0.54273,0.9493,0.7444,0.76365,0.81574,0.6855,0.9883,inf,1.20491,8.90442e-05,8.90442e-05,8.90442e-05
76,3504.96,0.28807,0.53992,0.94861,0.79219,0.77544,0.85754,0.70225,1.00542,inf,1.20221,8.57475e-05,8.57475e-05,8.57475e-05
77,3551.66,0.28893,0.53971,0.94864,0.83051,0.80332,0.88274,0.74688,0.96749,inf,1.19681,8.24508e-05,8.24508e-05,8.24508e-05
78,3598.52,0.28761,0.53794,0.94776,0.75464,0.78518,0.81802,0.68894,0.99236,inf,1.2027,7.91541e-05,7.91541e-05,7.91541e-05
79,3645.1,0.28448,0.53474,0.94799,0.71365,0.78025,0.77016,0.65379,0.95327,inf,1.19362,7.58574e-05,7.58574e-05,7.58574e-05
